reg_dt,21_lc1,21_lc2,21_lc3,21_lc4,22_lc1,22_lc2,22_lc3,22_lc4,23_lc1,23_lc2,23_lc3,23_lc4,24_lc1,24_lc2,24_lc3,24_lc4,25_lc1,25_lc2,25_lc3,25_lc4,26_lc1,26_lc2,26_lc3,26_lc4,27_lc1,27_lc2,27_lc3,27_lc4,28_lc1,28_lc2,28_lc3,28_lc4,29_lc1,29_lc2,29_lc3,29_lc4,30_lc1,30_lc2,30_lc3,30_lc4,31_lc1,31_lc2,31_lc3,31_lc4,32_lc1,32_lc2,32_lc3,32_lc4,33_lc1,33_lc2,33_lc3,33_lc4,34_lc1,34_lc2,34_lc3,34_lc4,35_lc1,35_lc2,35_lc3,35_lc4,36_lc1,36_lc2,36_lc3,36_lc4,37_lc1,37_lc2,37_lc3,37_lc4,38_lc1,38_lc2,38_lc3,38_lc4,39_lc1,39_lc2,39_lc3,39_lc4,40_lc1,40_lc2,40_lc3,40_lc4,41_lc1,41_lc2,41_lc3,41_lc4,42_lc1,42_lc2,42_lc3,42_lc4,43_lc1,43_lc2,43_lc3,43_lc4,44_lc1,44_lc2,44_lc3,44_lc4,45_lc1,45_lc2,45_lc3,45_lc4,46_lc1,46_lc2,46_lc3,46_lc4,47_lc1,47_lc2,47_lc3,47_lc4,48_lc1,48_lc2,48_lc3,48_lc4,49_lc1,49_lc2,49_lc3,49_lc4,50_lc1,50_lc2,50_lc3,50_lc4,51_lc1,51_lc2,51_lc3,51_lc4,52_lc1,52_lc2,52_lc3,52_lc4,53_lc1,53_lc2,53_lc3,53_lc4,54_lc1,54_lc2,54_lc3,54_lc4,55_lc1,55_lc2,55_lc3,55_lc4,56_lc1,56_lc2,56_lc3,56_lc4,57_lc1,57_lc2,57_lc3,57_lc4,58_lc1,58_lc2,58_lc3,58_lc4,59_lc1,59_lc2,59_lc3,59_lc4,60_lc1,60_lc2,60_lc3,60_lc4,21_ble,22_ble,23_ble,24_ble,25_ble,26_ble,27_ble,28_ble,29_ble,30_ble,31_ble,32_ble,33_ble,34_ble,35_ble,36_ble,37_ble,38_ble,39_ble,40_ble,41_ble,42_ble,43_ble,44_ble,45_ble,46_ble,47_ble,48_ble,49_ble,50_ble,51_ble,52_ble,53_ble,54_ble,55_ble,56_ble,57_ble,58_ble,59_ble,60_ble
2021-09-15 10:05:54.394621,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,56,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,62,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,54,0,0,70,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,-68,-66,0,0,0,0,0,0,-75,-66,-67,-62,0,-74,0,-70,0,0,0,0,0,0,0,0,0,0,-75,-69,0,-69,-68
2021-09-15 10:05:54.707036,0,0,60,0,534,0,0,487,0,0,0,0,0,53,0,0,0,0,66,0,55,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,62,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,61,0,0,0,0,0,0,54,0,0,70,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,-68,-66,0,0,0,0,0,0,-75,-66,-67,-62,0,-74,0,-70,0,0,0,0,0,0,0,0,0,0,-75,-69,0,-69,-68
2021-09-15 10:05:55.019530,161,999,999,469,999,0,0,999,0,0,0,0,0,0,0,0,78,0,106,57,55,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,56,0,74,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,62,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,61,0,0,0,0,0,0,54,0,0,70,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,63,0,0,-57,0,0,0,-58,0,-82,-68,0,0,-70,-68,0,0,0,-70,0,0,0,-66,-58,0,0,-64,0,-64,0,-67,0,0,0,0,0,-64,-70,0,-69,0
2021-09-15 10:05:55.332152,204,999,999,999,58,0,0,164,0,0,0,0,0,191,0,66,0,0,95,0,55,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,62,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,61,0,0,0,0,0,0,54,0,0,70,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,63,0,0,-57,0,0,0,-58,0,-82,-68,0,0,-70,-68,0,0,0,-70,0,0,0,-66,-58,0,0,-64,0,-64,0,-67,0,0,0,0,0,-64,-70,0,-69,0
2021-09-15 10:05:55.644614,211,529,999,999,0,0,0,0,0,0,0,0,738,999,0,951,145,83,0,0,55,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,61,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,63,-57,0,-58,0,0,0,-56,0,-61,-69,0,0,-64,-75,0,0,0,-74,0,0,0,0,-58,0,0,-65,-52,0,0,-77,0,-69,0,0,0,0,-73,0,-67,0
2021-09-15 10:05:55.956963,0,75,67,0,0,0,0,0,0,0,0,0,999,999,454,999,151,92,0,0,55,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,62,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,61,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,63,-55,0,-59,0,0,0,-52,0,-56,-61,-74,-63,0,0,0,0,0,-78,0,0,-59,-62,-59,0,-61,-72,-54,-65,0,0,-69,-70,-70,-68,-69,-69,0,0,-63,-64
2021-09-15 10:05:56.269394,0,76,55,65,0,0,0,0,0,0,0,0,931,999,820,999,848,999,458,95,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,61,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,63,-55,0,-59,0,0,0,-52,0,-56,-61,-74,-63,0,0,0,0,0,-78,0,0,-59,-62,-59,0,-61,-72,-54,-65,0,0,-69,-70,-70,-68,-69,-69,0,0,-63,-64
2021-09-15 10:05:56.581823,0,118,0,0,0,0,0,0,0,0,0,0,0,999,280,999,999,999,999,269,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,61,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,63,0,0,-59,0,0,0,-48,0,0,0,0,-65,-63,0,0,0,0,-72,0,0,-60,0,-66,-64,-61,-58,0,0,0,0,0,0,-68,0,-71,-66,0,0,0,0
2021-09-15 10:05:56.894259,0,91,0,0,0,0,0,0,0,0,0,0,0,0,74,77,999,999,999,786,55,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,61,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:05:57.206682,0,95,0,0,0,0,0,0,0,0,0,0,0,0,65,0,81,205,226,69,55,0,0,0,0,58,0,0,999,999,731,999,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,-56,-57,-64,0,-66,0,0,0,0,-77,0,-68,0,-69,0,-64,-56,0,0,0,0,-57,0,-64,-64,-69,-65,0,-69,-69
2021-09-15 10:05:57.519153,0,89,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,55,0,0,0,0,55,0,0,999,999,999,999,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,61,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,63,0,0,-68,0,0,0,-54,0,-50,-56,-55,-53,-66,0,0,0,-68,0,0,-69,-72,0,-67,0,0,0,-59,0,0,0,-60,-57,0,0,0,0,0,0,-77,-67
2021-09-15 10:05:57.831590,0,87,0,0,0,0,0,0,0,0,0,0,0,75,0,0,52,0,0,0,55,0,0,0,0,59,0,0,999,478,999,999,999,999,999,96,0,0,0,0,72,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,63,0,0,-68,0,0,0,-54,0,-50,-56,-55,-53,-66,0,0,0,-68,0,0,-69,-72,0,-67,0,0,0,-59,0,0,0,-60,-57,0,0,0,0,0,0,-77,-67
2021-09-15 10:05:58.143951,0,95,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,72,0,999,999,999,96,0,0,0,0,72,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,63,0,0,-68,0,0,0,-51,0,-53,-53,-53,-54,-58,-81,0,0,0,-71,0,0,-67,0,0,-69,0,-66,-64,0,-57,0,-58,-57,0,0,-62,-58,0,-61,-69,0
2021-09-15 10:05:58.456378,0,92,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,52,0,999,999,999,340,0,0,0,0,61,0,0,0,0,65,0,0,0,59,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,63,0,0,-64,0,0,0,-56,0,-60,0,-51,0,-55,-64,-67,-67,-61,-81,0,0,0,-72,0,0,0,0,-61,0,-57,-67,-60,-53,-58,0,0,-60,0,-66,-64,0
2021-09-15 10:05:58.768804,0,91,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,947,999,999,708,0,0,0,0,0,0,0,0,999,734,333,655,54,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,63,0,0,-64,0,0,0,-56,0,-60,0,-51,0,-55,-64,-67,-67,-61,-81,0,0,0,-72,0,0,0,0,-61,0,-57,-67,-60,-53,-58,0,0,-60,0,-66,-64,0
2021-09-15 10:05:59.081243,0,89,52,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,77,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,52,0,68,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,-61,0,0,0,0,0,0,0,-61,0,0,0,0,-69,0,0,-67,0,0,0,0,0,0,0,0,-57,0,-68,-61,0,0
2021-09-15 10:05:59.393702,0,87,52,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,924,999,861,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,53,0,68,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
